gene1	gene2	correlation	p.adjusted
chtS	quinolone__QnrE1	0.809086035	4.25E-13
cueP	quinolone__QnrE1	0.809086035	4.25E-13
emrK	quinolone__QnrE1	0.809086035	4.25E-13
farB	quinolone__QnrE1	0.809086035	4.25E-13
ncrY	quinolone__QnrE1	0.809086035	4.25E-13
pmrG	quinolone__QnrE1	0.809086035	4.25E-13
chtS	quinolone__QnrE2	0.809086035	4.25E-13
cueP	quinolone__QnrE2	0.809086035	4.25E-13
emrK	quinolone__QnrE2	0.809086035	4.25E-13
farB	quinolone__QnrE2	0.809086035	4.25E-13
ncrY	quinolone__QnrE2	0.809086035	4.25E-13
pmrG	quinolone__QnrE2	0.809086035	4.25E-13
adeC	quinolone__QnrS3	0.809086035	4.25E-13
adeT2	quinolone__QnrS3	0.809086035	4.25E-13
pmrB	quinolone__QnrS3	0.809086035	4.25E-13
adeC	quinolone__QnrS7	0.809086035	4.25E-13
adeT2	quinolone__QnrS7	0.809086035	4.25E-13
pmrB	quinolone__QnrS7	0.809086035	4.25E-13
norB	quinolone__sdrM	0.809086035	4.25E-13
aminoglycoside__aadA16	sepA	0.809086035	4.25E-13
chloramphenicol__catII	sepA	0.809086035	4.25E-13
chloramphenicol__cmlB1	sepA	0.809086035	4.25E-13
fosfomycin__FosA4	sepA	0.809086035	4.25E-13
multidrug__CrcB	sepA	0.809086035	4.25E-13
multidrug__efmA	sepA	0.809086035	4.25E-13
quinolone__QnrB21	sepA	0.809086035	4.25E-13
quinolone__QnrB25	sepA	0.809086035	4.25E-13
quinolone__QnrB27	sepA	0.809086035	4.25E-13
quinolone__QnrB28	sepA	0.809086035	4.25E-13
quinolone__QnrB30	sepA	0.809086035	4.25E-13
quinolone__QnrB33	sepA	0.809086035	4.25E-13
quinolone__QnrB35	sepA	0.809086035	4.25E-13
quinolone__QnrB37	sepA	0.809086035	4.25E-13
quinolone__QnrB4	sepA	0.809086035	4.25E-13
quinolone__QnrB60	sepA	0.809086035	4.25E-13
quinolone__QnrB61	sepA	0.809086035	4.25E-13
quinolone__QnrB65	sepA	0.809086035	4.25E-13
quinolone__QnrB71	sepA	0.809086035	4.25E-13
quinolone__QnrB72	sepA	0.809086035	4.25E-13
quinolone__QnrB73	sepA	0.809086035	4.25E-13
quinolone__QnrB8	sepA	0.809086035	4.25E-13
quinolone__QnrD1	sepA	0.809086035	4.25E-13
quinolone__QnrD2	sepA	0.809086035	4.25E-13
quinolone__QnrS3	sepA	0.809086035	4.25E-13
quinolone__QnrS7	sepA	0.809086035	4.25E-13
bleomycin__BLMT	srpA	0.809086035	4.25E-13
factumycin__facT	srpA	0.809086035	4.25E-13
multidrug__mefF	ssmE	0.809086035	4.25E-13
norB	streptothricin__SatA	0.809086035	4.25E-13
fosfomycin__FosA3	tbtR	0.809086035	4.25E-13
multidrug__lmrP	tbtR	0.809086035	4.25E-13
quinolone__QnrE1	tbtR	0.809086035	4.25E-13
quinolone__QnrE2	tbtR	0.809086035	4.25E-13
fosfomycin__FosA3	triA	0.809086035	4.25E-13
multidrug__lmrP	triA	0.809086035	4.25E-13
quinolone__QnrE1	triA	0.809086035	4.25E-13
quinolone__QnrE2	triA	0.809086035	4.25E-13
aminoglycoside__aadA16	triC	0.809086035	4.25E-13
chloramphenicol__catII	triC	0.809086035	4.25E-13
chloramphenicol__cmlB1	triC	0.809086035	4.25E-13
fosfomycin__FosA4	triC	0.809086035	4.25E-13
multidrug__CrcB	triC	0.809086035	4.25E-13
multidrug__efmA	triC	0.809086035	4.25E-13
quinolone__QnrB21	triC	0.809086035	4.25E-13
quinolone__QnrB25	triC	0.809086035	4.25E-13
quinolone__QnrB27	triC	0.809086035	4.25E-13
quinolone__QnrB28	triC	0.809086035	4.25E-13
quinolone__QnrB30	triC	0.809086035	4.25E-13
quinolone__QnrB33	triC	0.809086035	4.25E-13
quinolone__QnrB35	triC	0.809086035	4.25E-13
quinolone__QnrB37	triC	0.809086035	4.25E-13
quinolone__QnrB4	triC	0.809086035	4.25E-13
quinolone__QnrB60	triC	0.809086035	4.25E-13
quinolone__QnrB61	triC	0.809086035	4.25E-13
quinolone__QnrB65	triC	0.809086035	4.25E-13
quinolone__QnrB71	triC	0.809086035	4.25E-13
quinolone__QnrB72	triC	0.809086035	4.25E-13
quinolone__QnrB73	triC	0.809086035	4.25E-13
quinolone__QnrB8	triC	0.809086035	4.25E-13
quinolone__QnrD1	triC	0.809086035	4.25E-13
quinolone__QnrD2	triC	0.809086035	4.25E-13
quinolone__QnrS3	triC	0.809086035	4.25E-13
quinolone__QnrS7	triC	0.809086035	4.25E-13
norB	trimethoprim__dfrA17	0.809086035	4.25E-13
arrB	trimethoprim__dfrA19	0.809086035	4.25E-13
fbpB	trimethoprim__dfrA19	0.809086035	4.25E-13
frnE	trimethoprim__dfrA19	0.809086035	4.25E-13
nixA	trimethoprim__dfrA19	0.809086035	4.25E-13
srpA	trimethoprim__dfrA19	0.809086035	4.25E-13
norB	trimethoprim__dfrA7	0.809086035	4.25E-13
nccC	trimethoprim__dfrB5	0.809086035	4.25E-13
arrB	trimethoprim__dfrB7	0.809086035	4.25E-13
fbpB	trimethoprim__dfrB7	0.809086035	4.25E-13
frnE	trimethoprim__dfrB7	0.809086035	4.25E-13
nixA	trimethoprim__dfrB7	0.809086035	4.25E-13
srpA	trimethoprim__dfrB7	0.809086035	4.25E-13
fosfomycin__FosA3	ttgT	0.809086035	4.25E-13
multidrug__lmrP	ttgT	0.809086035	4.25E-13
quinolone__QnrE1	ttgT	0.809086035	4.25E-13
quinolone__QnrE2	ttgT	0.809086035	4.25E-13
pfr	vancomycin__vanHA	0.809086035	4.25E-13
chtS	vancomycin__vanHB	0.809086035	4.25E-13
cueP	vancomycin__vanHB	0.809086035	4.25E-13
emrK	vancomycin__vanHB	0.809086035	4.25E-13
farB	vancomycin__vanHB	0.809086035	4.25E-13
ncrY	vancomycin__vanHB	0.809086035	4.25E-13
pmrG	vancomycin__vanHB	0.809086035	4.25E-13
tbtR	vancomycin__vanHB	0.809086035	4.25E-13
triA	vancomycin__vanHB	0.809086035	4.25E-13
ttgT	vancomycin__vanHB	0.809086035	4.25E-13
adeC	vancomycin__vanTG	0.809086035	4.25E-13
adeT2	vancomycin__vanTG	0.809086035	4.25E-13
pmrB	vancomycin__vanTG	0.809086035	4.25E-13
sepA	vancomycin__vanTG	0.809086035	4.25E-13
triC	vancomycin__vanTG	0.809086035	4.25E-13
nhlF	vancomycin__vanXA	0.809086035	4.25E-13
norB	vancomycin__vanYA	0.809086035	4.25E-13
norB	vancomycin__vanYF	0.809086035	4.25E-13
norB	vancomycin__vanZF	0.809086035	4.25E-13
bleomycin__BLMT	yhcN	0.809086035	4.25E-13
factumycin__facT	yhcN	0.809086035	4.25E-13
trimethoprim__dfrA19	yhcN	0.809086035	4.25E-13
trimethoprim__dfrB7	yhcN	0.809086035	4.25E-13
aminoglycoside__aadA16	yqjH	0.809086035	4.25E-13
chloramphenicol__catII	yqjH	0.809086035	4.25E-13
chloramphenicol__cmlB1	yqjH	0.809086035	4.25E-13
fosfomycin__FosA4	yqjH	0.809086035	4.25E-13
multidrug__CrcB	yqjH	0.809086035	4.25E-13
multidrug__efmA	yqjH	0.809086035	4.25E-13
quinolone__QnrB21	yqjH	0.809086035	4.25E-13
quinolone__QnrB25	yqjH	0.809086035	4.25E-13
quinolone__QnrB27	yqjH	0.809086035	4.25E-13
quinolone__QnrB28	yqjH	0.809086035	4.25E-13
quinolone__QnrB30	yqjH	0.809086035	4.25E-13
quinolone__QnrB33	yqjH	0.809086035	4.25E-13
quinolone__QnrB35	yqjH	0.809086035	4.25E-13
quinolone__QnrB37	yqjH	0.809086035	4.25E-13
quinolone__QnrB4	yqjH	0.809086035	4.25E-13
quinolone__QnrB60	yqjH	0.809086035	4.25E-13
quinolone__QnrB61	yqjH	0.809086035	4.25E-13
quinolone__QnrB65	yqjH	0.809086035	4.25E-13
quinolone__QnrB71	yqjH	0.809086035	4.25E-13
quinolone__QnrB72	yqjH	0.809086035	4.25E-13
quinolone__QnrB73	yqjH	0.809086035	4.25E-13
quinolone__QnrB8	yqjH	0.809086035	4.25E-13
quinolone__QnrD1	yqjH	0.809086035	4.25E-13
quinolone__QnrD2	yqjH	0.809086035	4.25E-13
quinolone__QnrS3	yqjH	0.809086035	4.25E-13
quinolone__QnrS7	yqjH	0.809086035	4.25E-13
vancomycin__vanTG	yqjH	0.809086035	4.25E-13
fosfomycin__FosA3	zraP	0.809086035	4.25E-13
multidrug__lmrP	zraP	0.809086035	4.25E-13
quinolone__QnrE1	zraP	0.809086035	4.25E-13
quinolone__QnrE2	zraP	0.809086035	4.25E-13
vancomycin__vanHB	zraP	0.809086035	4.25E-13
aminoglycoside__aadS	cutA	0.811557789	3.34E-13
aminoglycoside__aadS	marA	0.811557789	3.34E-13
aminoglycoside__aadS	silC	0.811786204	3.26E-13
pcoB	vancomycin__vanHO	0.812802357	2.83E-13
mrdH	quinolone__qepA	0.814011095	2.41E-13
aminoglycoside__aadS	ttgR	0.814065427	2.41E-13
beta_lactam__imiS	nikD	0.814889658	2.14E-13
emrR	polymyxin__eptA	0.81532402	2.02E-13
ttgF	vancomycin__vanB	0.815439146	1.98E-13
cuiD	multidrug__emrD	0.815585074	1.94E-13
aminoglycoside__aadS	mepC	0.816126085	1.79E-13
multidrug__mepA	robA	0.816263377	1.79E-13
aminoglycoside__aadS	tehA	0.816263377	1.79E-13
chloramphenicol__catB3	cusB	0.81663113	1.71E-13
cusB	other_peptide_antibiotics__ArnT	0.816986496	1.63E-13
aminoglycoside__aadA7	hoxN	0.817198405	1.55E-13
beta_lactam__Rm3	nikR	0.819323892	1.17E-13
multidrug__abeS	nirC	0.819808593	1.09E-13
kmtR	quinolone__lfrA	0.821159511	9.33E-14
other_peptide_antibiotics__ArnT	ttgC	0.821250888	8.95E-14
chloramphenicol__catB3	ttgC	0.821783937	8.56E-14
acr3	multidrug__abeS	0.821953189	8.17E-14
csoR	multidrug__blt	0.822184856	7.78E-14
aminoglycoside__aadA10	eefX	0.82327131	7.00E-14
aminoglycoside__aadA5	eefX	0.82327131	7.00E-14
aminoglycoside__aadA10	farR	0.82327131	7.00E-14
aminoglycoside__aadA5	farR	0.82327131	7.00E-14
chloramphenicol__catB10	irlS	0.82327131	7.00E-14
aminoglycoside__aadA10	mtrC	0.82327131	7.00E-14
aminoglycoside__aadA5	mtrC	0.82327131	7.00E-14
aminoglycoside__aadA10	nirD	0.82327131	7.00E-14
aminoglycoside__aadA5	nirD	0.82327131	7.00E-14
aminoglycoside__aadA10	nmtR	0.82327131	7.00E-14
aminoglycoside__aadA5	nmtR	0.82327131	7.00E-14
irlS	quinolone__QnrB20	0.82327131	7.00E-14
pfr	quinolone__QnrS2	0.82327131	7.00E-14
aminoglycoside__aadA10	silF	0.82327131	7.00E-14
aminoglycoside__aadA5	silF	0.82327131	7.00E-14
pfr	trimethoprim__dfrA35	0.82327131	7.00E-14
bcrA	vancomycin__vanH_in_vanP_cl	0.82327131	7.00E-14
mtrR	vancomycin__vanH_in_vanP_cl	0.82327131	7.00E-14
nccC	vancomycin__vanH_in_vanP_cl	0.82327131	7.00E-14
adeC	vancomycin__vanYB	0.82327131	7.00E-14
irlS	vancomycin__vanYM	0.82327131	7.00E-14
aminoglycoside__aadA10	vceC	0.82327131	7.00E-14
aminoglycoside__aadA5	vceC	0.82327131	7.00E-14
aminoglycoside__aadA10	vceR	0.82327131	7.00E-14
aminoglycoside__aadA5	vceR	0.82327131	7.00E-14
aminoglycoside__aadA10	ydeI	0.82327131	7.00E-14
aminoglycoside__aadA5	ydeI	0.82327131	7.00E-14
aminoglycoside__aadA10	yjaA	0.82327131	7.00E-14
aminoglycoside__aadA5	yjaA	0.82327131	7.00E-14
beta_lactam__BcII	nikD	0.823681455	6.29E-14
bcrA	bleomycin__BLMT	0.82379669	6.29E-14
aminoglycoside__aadA10	chtS	0.82379669	6.29E-14
aminoglycoside__aadA5	chtS	0.82379669	6.29E-14
aminoglycoside__aadA10	cueP	0.82379669	6.29E-14
aminoglycoside__aadA5	cueP	0.82379669	6.29E-14
aminoglycoside__aadA10	emrK	0.82379669	6.29E-14
aminoglycoside__aadA5	emrK	0.82379669	6.29E-14
bcrA	factumycin__facT	0.82379669	6.29E-14
aminoglycoside__aadA10	farB	0.82379669	6.29E-14
aminoglycoside__aadA5	farB	0.82379669	6.29E-14
bleomycin__BLMT	mtrR	0.82379669	6.29E-14
factumycin__facT	mtrR	0.82379669	6.29E-14
bleomycin__BLMT	nccC	0.82379669	6.29E-14
factumycin__facT	nccC	0.82379669	6.29E-14
aminoglycoside__aadA10	ncrY	0.82379669	6.29E-14
aminoglycoside__aadA5	ncrY	0.82379669	6.29E-14
aminoglycoside__aadA13	pcoE	0.82379669	6.29E-14
aminoglycoside__aadA6	pcoE	0.82379669	6.29E-14
beta_lactam__MAB	pcoE	0.82379669	6.29E-14
beta_lactam__CfxA	pdrM	0.82379669	6.29E-14
aminoglycoside__aadA10	pmrG	0.82379669	6.29E-14
aminoglycoside__aadA5	pmrG	0.82379669	6.29E-14
irlS	quinolone__QnrE2	0.82379669	6.29E-14
pfr	quinolone__QnrVC4	0.82379669	6.29E-14
pfr	quinolone__QnrVC5	0.82379669	6.29E-14
pfr	quinolone__QnrVC6	0.82379669	6.29E-14
pfr	quinolone__QnrVC7	0.82379669	6.29E-14
beta_lactam__Bla2	ssmE	0.82379669	6.29E-14
aminoglycoside__aadA10	tbtR	0.82379669	6.29E-14
aminoglycoside__aadA5	tbtR	0.82379669	6.29E-14
pcoE	tetracycline__tetX6	0.82379669	6.29E-14
aminoglycoside__aadA10	triA	0.82379669	6.29E-14
aminoglycoside__aadA5	triA	0.82379669	6.29E-14
pcoE	trimethoprim__dfrA12	0.82379669	6.29E-14
bcrA	trimethoprim__dfrA19	0.82379669	6.29E-14
mtrR	trimethoprim__dfrA19	0.82379669	6.29E-14
nccC	trimethoprim__dfrA19	0.82379669	6.29E-14
bcrA	trimethoprim__dfrB7	0.82379669	6.29E-14
mtrR	trimethoprim__dfrB7	0.82379669	6.29E-14
nccC	trimethoprim__dfrB7	0.82379669	6.29E-14
aminoglycoside__aadA10	ttgT	0.82379669	6.29E-14
aminoglycoside__aadA5	ttgT	0.82379669	6.29E-14
pfr	vancomycin__vanXB	0.82379669	6.29E-14
cadD	vancomycin__vanYA	0.82379669	6.29E-14
chloramphenicol__catB9	vmeE	0.82379669	6.29E-14
chloramphenicol__catB9	vpoC	0.82379669	6.29E-14
aminoglycoside__aadA10	zraP	0.82379669	6.29E-14
aminoglycoside__aadA5	zraP	0.82379669	6.29E-14
aminoglycoside__aadS	phoR	0.824770113	5.65E-14
multidrug__mdtL	nikB	0.824846455	5.65E-14
beta_lactam__Bla1	csoR	0.825291596	5.24E-14
chloramphenicol__cmx	qacF	0.825544022	4.84E-14
aminoglycoside__aadS	nikR	0.825719507	4.84E-14
corD	multidrug__mdtL	0.826340236	4.44E-14
adeA	chloramphenicol__cmx	0.826934021	4.03E-14
beta_lactam__Rm3	phoR	0.829202195	3.23E-14
chloramphenicol__cmx	eefA	0.829977071	2.42E-14
fosfomycin__FosA7	vmeA	0.830550046	2.42E-14
sdeX	tetracycline__tetX1	0.830797478	2.42E-14
vancomycin__vanD	vmeA	0.831099533	2.42E-14
eefA	multidrug__abeS	0.831771508	2.02E-14
adeA	quinolone__lfrA	0.833304854	1.61E-14
qacF	quinolone__lfrA	0.833999853	1.61E-14
tbtB	vancomycin__vanO	0.834577114	1.61E-14
mntR	multidrug__mdtL	0.834966399	1.21E-14
csoR	multidrug__bmr	0.835389853	1.21E-14
eefA	quinolone__lfrA	0.835659456	1.21E-14
dsbA	multidrug__mdtL	0.835890631	8.08E-15
beta_lactam__Rm3	copD	0.836051776	8.08E-15
chrC	quinolone__qepA	0.838771321	8.08E-15
fosfomycin__FosB	oprN	0.839196873	8.08E-15
bexA	quinolone__QnrE2	0.839964846	8.08E-15
beta_lactam__CepS	tehA	0.839964846	8.08E-15
beta_lactam__cphA2	tehA	0.839964846	8.08E-15
tehA	vancomycin__vanN	0.839964846	8.08E-15
eefA	multidrug__tap	0.840194429	8.08E-15
adeT2	beta_lactam__imiS	0.840343038	8.08E-15
bexA	chloramphenicol__catB10	0.840343038	8.08E-15
beta_lactam__CepS	marR	0.840343038	8.08E-15
beta_lactam__cphA2	marR	0.840343038	8.08E-15
fosfomycin__FosA7	pfr	0.840343038	8.08E-15
beta_lactam__imiS	pmrB	0.840343038	8.08E-15
bexA	quinolone__QnrB20	0.840343038	8.08E-15
czrB	quinolone__QnrE1	0.840343038	8.08E-15
nccB	quinolone__QnrE1	0.840343038	8.08E-15
cmtR	quinolone__QnrE2	0.840343038	8.08E-15
gadX	quinolone__QnrE2	0.840343038	8.08E-15
adeC	rifamycin__rgt1438	0.840343038	8.08E-15
chloramphenicol__catB10	tehA	0.840343038	8.08E-15
quinolone__QnrB20	tehA	0.840343038	8.08E-15
beta_lactam__CepS	terW	0.840343038	8.08E-15
beta_lactam__cphA2	terW	0.840343038	8.08E-15
beta_lactam__imiS	triC	0.840343038	8.08E-15
sepA	trimethoprim__DfrA43_TMP	0.840343038	8.08E-15
adeT2	trimethoprim__dfrA1	0.840343038	8.08E-15
pmrB	trimethoprim__dfrA1	0.840343038	8.08E-15
triC	trimethoprim__dfrA1	0.840343038	8.08E-15
adeT2	vancomycin__vanA	0.840343038	8.08E-15
pmrB	vancomycin__vanA	0.840343038	8.08E-15
triC	vancomycin__vanA	0.840343038	8.08E-15
adeT2	vancomycin__vanD	0.840343038	8.08E-15
pmrB	vancomycin__vanD	0.840343038	8.08E-15
triC	vancomycin__vanD	0.840343038	8.08E-15
marR	vancomycin__vanN	0.840343038	8.08E-15
terW	vancomycin__vanN	0.840343038	8.08E-15
bexA	vancomycin__vanYM	0.840343038	8.08E-15
tehA	vancomycin__vanYM	0.840343038	8.08E-15
beta_lactam__CepS	yodD	0.840343038	8.08E-15
beta_lactam__cphA2	yodD	0.840343038	8.08E-15
vancomycin__vanN	yodD	0.840343038	8.08E-15
aioE	multidrug__abeS	0.840602352	8.08E-15
tetracycline__tetX1	tupB	0.840669935	8.08E-15
adeC	beta_lactam__BcII	0.841099422	4.07E-15
beta_lactam__CepS	bexA	0.841099422	4.07E-15
beta_lactam__cphA2	bexA	0.841099422	4.07E-15
chloramphenicol__catB10	cmtR	0.841099422	4.07E-15
beta_lactam__imiS	fbpB	0.841099422	4.07E-15
bepF	fosfomycin__FosA3	0.841099422	4.07E-15
beta_lactam__imiS	frnE	0.841099422	4.07E-15
chloramphenicol__catB10	gadX	0.841099422	4.07E-15
aminoglycoside__aadA14	hefC	0.841099422	4.07E-15
beta_lactam__BcIII	hefC	0.841099422	4.07E-15
beta_lactam__CepS	hupE2	0.841099422	4.07E-15
beta_lactam__cphA2	hupE2	0.841099422	4.07E-15
beta_lactam__CepS	lde	0.841099422	4.07E-15
beta_lactam__cphA2	lde	0.841099422	4.07E-15
chloramphenicol__catB10	marR	0.841099422	4.07E-15
bepF	multidrug__lmrP	0.841099422	4.07E-15
beta_lactam__imiS	nixA	0.841099422	4.07E-15
chloramphenicol__catB9	pcoC	0.841099422	4.07E-15
aminoglycoside__aadA21	perR	0.841099422	4.07E-15
cmtR	quinolone__QnrB20	0.841099422	4.07E-15
gadX	quinolone__QnrB20	0.841099422	4.07E-15
marR	quinolone__QnrB20	0.841099422	4.07E-15
hupE2	quinolone__QnrE2	0.841099422	4.07E-15
lde	quinolone__QnrE2	0.841099422	4.07E-15
beta_lactam__imiS	srpA	0.841099422	4.07E-15
quinolone__QnrE2	tehA	0.841099422	4.07E-15
chloramphenicol__catB10	terW	0.841099422	4.07E-15
quinolone__QnrB20	terW	0.841099422	4.07E-15
fbpB	trimethoprim__dfrA1	0.841099422	4.07E-15
frnE	trimethoprim__dfrA1	0.841099422	4.07E-15
nixA	trimethoprim__dfrA1	0.841099422	4.07E-15
srpA	trimethoprim__dfrA1	0.841099422	4.07E-15
aminoglycoside__aadA13	ttgR	0.841099422	4.07E-15
beta_lactam__MAB	ttgR	0.841099422	4.07E-15
tetracycline__tetX6	ttgR	0.841099422	4.07E-15
trimethoprim__dfrA12	ttgR	0.841099422	4.07E-15
fbpB	vancomycin__vanA	0.841099422	4.07E-15
frnE	vancomycin__vanA	0.841099422	4.07E-15
nixA	vancomycin__vanA	0.841099422	4.07E-15
srpA	vancomycin__vanA	0.841099422	4.07E-15
fbpB	vancomycin__vanD	0.841099422	4.07E-15
frnE	vancomycin__vanD	0.841099422	4.07E-15
nixA	vancomycin__vanD	0.841099422	4.07E-15
srpA	vancomycin__vanD	0.841099422	4.07E-15
bepF	vancomycin__vanHB	0.841099422	4.07E-15
bexA	vancomycin__vanN	0.841099422	4.07E-15
hupE2	vancomycin__vanN	0.841099422	4.07E-15
lde	vancomycin__vanN	0.841099422	4.07E-15
cmtR	vancomycin__vanYM	0.841099422	4.07E-15
gadX	vancomycin__vanYM	0.841099422	4.07E-15
marR	vancomycin__vanYM	0.841099422	4.07E-15
terW	vancomycin__vanYM	0.841099422	4.07E-15
beta_lactam__imiS	yhcN	0.841099422	4.07E-15
trimethoprim__dfrA1	yhcN	0.841099422	4.07E-15
vancomycin__vanA	yhcN	0.841099422	4.07E-15
vancomycin__vanD	yhcN	0.841099422	4.07E-15
chloramphenicol__catB10	yodD	0.841099422	4.07E-15
quinolone__QnrB20	yodD	0.841099422	4.07E-15
vancomycin__vanYM	yodD	0.841099422	4.07E-15
multidrug__mepA	yqjH	0.841099422	4.07E-15
bcrA	beta_lactam__imiS	0.841477614	4.07E-15
beta_lactam__CepS	cmtR	0.841477614	4.07E-15
beta_lactam__cphA2	cmtR	0.841477614	4.07E-15
beta_lactam__CepS	gadX	0.841477614	4.07E-15
beta_lactam__cphA2	gadX	0.841477614	4.07E-15
chloramphenicol__catB10	hupE2	0.841477614	4.07E-15
chloramphenicol__catB10	lde	0.841477614	4.07E-15
beta_lactam__imiS	mtrR	0.841477614	4.07E-15
aminoglycoside__aadA6	oprJ	0.841477614	4.07E-15
hupE2	quinolone__QnrB20	0.841477614	4.07E-15
lde	quinolone__QnrB20	0.841477614	4.07E-15
marR	quinolone__QnrE2	0.841477614	4.07E-15
quinolone__QnrE2	terW	0.841477614	4.07E-15
bcrA	trimethoprim__dfrA1	0.841477614	4.07E-15
mtrR	trimethoprim__dfrA1	0.841477614	4.07E-15
chloramphenicol__catA4	ttgR	0.841477614	4.07E-15
fosfomycin__FosA5	ttgR	0.841477614	4.07E-15
fosfomycin__FosA6	ttgR	0.841477614	4.07E-15
bcrA	vancomycin__vanA	0.841477614	4.07E-15
mtrR	vancomycin__vanA	0.841477614	4.07E-15
bcrA	vancomycin__vanD	0.841477614	4.07E-15
mtrR	vancomycin__vanD	0.841477614	4.07E-15
cmtR	vancomycin__vanN	0.841477614	4.07E-15
gadX	vancomycin__vanN	0.841477614	4.07E-15
hupE2	vancomycin__vanYM	0.841477614	4.07E-15
lde	vancomycin__vanYM	0.841477614	4.07E-15
quinolone__QnrE2	yodD	0.841477614	4.07E-15
mepC	other_peptide_antibiotics__ArnT	0.844915939	0
multidrug__tap	pcm	0.84559623	0
multidrug__emrD	soxS	0.845653444	0
pmrC	trimethoprim__dfrB6	0.846112839	0
chloramphenicol__catB3	mepC	0.846124689	0
chloramphenicol__catB3	nikR	0.846930522	0
nikR	other_peptide_antibiotics__ArnT	0.84713198	0
adeT2	multidrug__qacE	0.850365131	0
multidrug__qacE	pmrB	0.850365131	0
chloramphenicol__catB9	terA	0.850365131	0
multidrug__qacE	triC	0.850365131	0
beta_lactam__CepS	dsbB	0.850743323	0
beta_lactam__cphA2	dsbB	0.850743323	0
beta_lactam__CepS	fecD	0.850743323	0
beta_lactam__cphA2	fecD	0.850743323	0
fbpB	multidrug__qacE	0.850743323	0
frnE	multidrug__qacE	0.850743323	0
multidrug__qacE	nixA	0.850743323	0
multidrug__qacE	srpA	0.850743323	0
dsbB	vancomycin__vanN	0.850743323	0
fecD	vancomycin__vanN	0.850743323	0
multidrug__qacE	yhcN	0.850743323	0
nccB	quinolone__QnrE2	0.851121515	0
chloramphenicol__catB10	dsbB	0.8518779	0
aminoglycoside__aadA14	emrRsm	0.8518779	0
beta_lactam__BcIII	emrRsm	0.8518779	0
chloramphenicol__catB10	fecD	0.8518779	0
aminoglycoside__aadA14	hasF	0.8518779	0
beta_lactam__BcIII	hasF	0.8518779	0
aminoglycoside__aadA14	kpnF	0.8518779	0
beta_lactam__BcIII	kpnF	0.8518779	0
aminoglycoside__aadA14	mdtA	0.8518779	0
beta_lactam__BcIII	mdtA	0.8518779	0
bcrA	multidrug__qacE	0.8518779	0
mtrR	multidrug__qacE	0.8518779	0
dsbB	quinolone__QnrB20	0.8518779	0
fecD	quinolone__QnrB20	0.8518779	0
bepF	quinolone__QnrE2	0.8518779	0
quinolone__QnrE2	ttgR	0.8518779	0
dsbB	vancomycin__vanYM	0.8518779	0
fecD	vancomycin__vanYM	0.8518779	0
aminoglycoside__aadA14	ygiW	0.8518779	0
beta_lactam__BcIII	ygiW	0.8518779	0
bepF	beta_lactam__CepS	0.852256092	0
bepF	beta_lactam__cphA2	0.852256092	0
aminoglycoside__aadA14	gadX	0.852256092	0
beta_lactam__BcIII	gadX	0.852256092	0
chloramphenicol__catB10	nccB	0.852256092	0
nccB	quinolone__QnrB20	0.852256092	0
beta_lactam__imiS	ssmE	0.852256092	0
beta_lactam__CepS	ttgR	0.852256092	0
beta_lactam__cphA2	ttgR	0.852256092	0
cmtR	vancomycin__vanI	0.852256092	0
bepF	vancomycin__vanN	0.852256092	0
ttgR	vancomycin__vanN	0.852256092	0
nccB	vancomycin__vanYM	0.852256092	0
aminoglycoside__aadA21	yodD	0.852256092	0
bepF	chloramphenicol__catB10	0.852634284	0
beta_lactam__CepS	nccB	0.852634284	0
beta_lactam__cphA2	nccB	0.852634284	0
bepF	quinolone__QnrB20	0.852634284	0
dsbB	quinolone__QnrE2	0.852634284	0
fecD	quinolone__QnrE2	0.852634284	0
marR	quinolone__sdrM	0.852634284	0
perR	quinolone__sdrM	0.852634284	0
nhlF	rifamycin__rgt1438	0.852634284	0
beta_lactam__BcII	ssmE	0.852634284	0
multidrug__mepA	ssmE	0.852634284	0
aminoglycoside__aadA6	tehA	0.852634284	0
pfr	trimethoprim__DfrA43_TMP	0.852634284	0
cmeF	trimethoprim__dfrA16	0.852634284	0
copL	trimethoprim__dfrA17	0.852634284	0
arrB	trimethoprim__dfrA26	0.852634284	0
copL	trimethoprim__dfrA7	0.852634284	0
aminoglycoside__aadA10	ttgF	0.852634284	0
aminoglycoside__aadA5	ttgF	0.852634284	0
chloramphenicol__catB10	ttgR	0.852634284	0
quinolone__QnrB20	ttgR	0.852634284	0
nhlF	vancomycin__vanA	0.852634284	0
pfr	vancomycin__vanD	0.852634284	0
nhlF	vancomycin__vanF	0.852634284	0
nccB	vancomycin__vanN	0.852634284	0
bepF	vancomycin__vanYM	0.852634284	0
ttgR	vancomycin__vanYM	0.852634284	0
pcoB	quinolone__lfrA	0.85270661	0
corD	multidrug__emrD	0.853731298	0
rifamycin__iri	sitD	0.855462933	0
pleuromutilin_tiamulin__TaeA	terE	0.858961846	0
oscA	tetracycline__tetA	0.859205977	0
smeD	tetracycline__tetA	0.859205977	0
chloramphenicol__catI	qacE	0.859622392	0
adeT2	fosfomycin__FosC2	0.8615218	0
fosfomycin__FosC2	pmrB	0.8615218	0
fosfomycin__FosC2	triC	0.8615218	0
beta_lactam__CepS	emrRsm	0.861899992	0
beta_lactam__cphA2	emrRsm	0.861899992	0
beta_lactam__CepS	hasF	0.861899992	0
beta_lactam__cphA2	hasF	0.861899992	0
